시간대_매출금액,기준_년,기준_분기,상권_코드,행정동_코드,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,시간대_레이블,상권_구분_코드_레이블
141488827.0,2021,1,3110989,11680630.0,122972.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,5,1
61952211.0,2021,1,3110989,11680630.0,107589.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,4,1
53641966.0,2021,1,3110989,11680630.0,109826.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,3,1
51740344.0,2021,1,3110989,11680630.0,144916.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,2,1
74963282.0,2021,1,3110989,11680630.0,149768.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,1,1
226972195.0,2021,1,3110992,11680630.0,234871.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0,6,1
262072043.0,2021,1,3110992,11680630.0,322374.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0,5,1
129744273.0,2021,1,3110992,11680630.0,218625.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0,4,1
108138605.0,2021,1,3110992,11680630.0,211489.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0,3,1
116573164.0,2021,1,3110992,11680630.0,365743.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0,2,1
83259772.0,2021,1,3110992,11680630.0,488405.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0,1,1
47578145.0,2021,1,3110994,11680670.0,71398.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0,6,1
60979405.0,2021,1,3110994,11680670.0,75778.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0,5,1
34358203.0,2021,1,3110994,11680670.0,60110.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0,4,1
34791016.0,2021,1,3110994,11680670.0,64341.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0,3,1
36885735.0,2021,1,3110994,11680670.0,124011.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0,2,1
17654966.0,2021,1,3110994,11680670.0,179726.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0,1,1
