시간대_매출금액,시간대_유동인구_수,유동인구_수_평균,총_직장_인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,지출_총금액
438176030.0,400228.0,348779.3,11531.0,5072.0,37.0,3332219.0,3913260246.0
464603684.0,550935.0,348779.3,11531.0,5072.0,37.0,3332219.0,3913260246.0
321163052.0,545993.0,348779.3,11531.0,5072.0,37.0,3332219.0,3913260246.0
649207341.0,64542.0,86645.05,3427.0,598.0,11.0,3030210.0,534208860.0
795423425.0,113096.0,86645.05,3427.0,598.0,11.0,3030210.0,534208860.0
462462779.0,103969.0,86645.05,3427.0,598.0,11.0,3030210.0,534208860.0
577433165.0,106672.0,86645.05,3427.0,598.0,11.0,3030210.0,534208860.0
526499261.0,138304.0,86645.05,3427.0,598.0,11.0,3030210.0,534208860.0
434848231.0,115298.0,86645.05,3427.0,598.0,11.0,3030210.0,534208860.0
476110806.0,106232.0,177239.5,9363.0,565.0,81.0,3402858.0,1006064987.0
875883129.0,289688.0,177239.5,9363.0,565.0,81.0,3402858.0,1006064987.0
514020231.0,270441.0,177239.5,9363.0,565.0,81.0,3402858.0,1006064987.0
525681838.0,257886.0,177239.5,9363.0,565.0,81.0,3402858.0,1006064987.0
555412132.0,236391.0,177239.5,9363.0,565.0,81.0,3402858.0,1006064987.0
178098052.0,146098.0,177239.5,9363.0,565.0,81.0,3402858.0,1006064987.0
234664350.0,123593.0,161139.1,11549.0,1108.0,36.0,3463488.0,1479305382.0
304550716.0,205185.0,161139.1,11549.0,1108.0,36.0,3463488.0,1479305382.0
164967067.0,183174.0,161139.1,11549.0,1108.0,36.0,3463488.0,1479305382.0
199937204.0,184736.0,161139.1,11549.0,1108.0,36.0,3463488.0,1479305382.0
238173010.0,253290.0,161139.1,11549.0,1108.0,36.0,3463488.0,1479305382.0
111435011.0,228122.0,161139.1,11549.0,1108.0,36.0,3463488.0,1479305382.0
211518040.0,185092.0,297015.9,11735.0,793.0,77.0,4378212.0,1694893928.0
338244677.0,500535.0,297015.9,11735.0,793.0,77.0,4378212.0,1694893928.0
287012967.0,451732.0,297015.9,11735.0,793.0,77.0,4378212.0,1694893928.0
269235974.0,415059.0,297015.9,11735.0,793.0,77.0,4378212.0,1694893928.0
205571524.0,372044.0,297015.9,11735.0,793.0,77.0,4378212.0,1694893928.0
73349806.0,240785.0,297015.9,11735.0,793.0,77.0,4378212.0,1694893928.0
581648603.0,211035.0,281337.7,7726.0,920.0,88.0,3950137.0,1470778245.0
760526947.0,415722.0,281337.7,7726.0,920.0,88.0,3950137.0,1470778245.0
418980789.0,363818.0,281337.7,7726.0,920.0,88.0,3950137.0,1470778245.0
479868838.0,355480.0,281337.7,7726.0,920.0,88.0,3950137.0,1470778245.0
487430201.0,411416.0,281337.7,7726.0,920.0,88.0,3950137.0,1470778245.0
214214553.0,351255.0,281337.7,7726.0,920.0,88.0,3950137.0,1470778245.0
387332306.0,142333.0,220811.75,41471.0,1127.0,30.0,3950805.0,1790026304.0
401422791.0,324788.0,220811.75,41471.0,1127.0,30.0,3950805.0,1790026304.0
237369384.0,341547.0,220811.75,41471.0,1127.0,30.0,3950805.0,1790026304.0
266274003.0,343285.0,220811.75,41471.0,1127.0,30.0,3950805.0,1790026304.0
235115705.0,382852.0,220811.75,41471.0,1127.0,30.0,3950805.0,1790026304.0
185035957.0,212407.0,220811.75,41471.0,1127.0,30.0,3950805.0,1790026304.0
116420953.0,47288.0,68188.15,13950.0,592.0,22.0,3506683.0,1848282139.0
163743257.0,100900.0,68188.15,13950.0,592.0,22.0,3506683.0,1848282139.0
