시간대_매출금액,기준_년,기준_분기,시간대,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액
62575582.0,2021,1,0,0,0,3110984,55,11680.0,0,11680690.0,1,310492.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
125837554.0,2021,1,5,0,0,3110989,18,11680.0,0,11680630.0,6,72766.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
141488827.0,2021,1,4,0,0,3110989,18,11680.0,0,11680630.0,6,122972.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
61952211.0,2021,1,3,0,0,3110989,18,11680.0,0,11680630.0,6,107589.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
53641966.0,2021,1,2,0,0,3110989,18,11680.0,0,11680630.0,6,109826.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
51740344.0,2021,1,1,0,0,3110989,18,11680.0,0,11680630.0,6,144916.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
74963282.0,2021,1,0,0,0,3110989,18,11680.0,0,11680630.0,6,149768.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
226972195.0,2021,1,5,0,0,3110992,22,11680.0,0,11680630.0,6,234871.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
262072043.0,2021,1,4,0,0,3110992,22,11680.0,0,11680630.0,6,322374.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
129744273.0,2021,1,3,0,0,3110992,22,11680.0,0,11680630.0,6,218625.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
108138605.0,2021,1,2,0,0,3110992,22,11680.0,0,11680630.0,6,211489.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
116573164.0,2021,1,1,0,0,3110992,22,11680.0,0,11680630.0,6,365743.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
83259772.0,2021,1,0,0,0,3110992,22,11680.0,0,11680630.0,6,488405.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
47578145.0,2021,1,5,0,0,3110994,8,11680.0,0,11680670.0,0,71398.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
60979405.0,2021,1,4,0,0,3110994,8,11680.0,0,11680670.0,0,75778.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
34358203.0,2021,1,3,0,0,3110994,8,11680.0,0,11680670.0,0,60110.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
34791016.0,2021,1,2,0,0,3110994,8,11680.0,0,11680670.0,0,64341.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
36885735.0,2021,1,1,0,0,3110994,8,11680.0,0,11680670.0,0,124011.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
17654966.0,2021,1,0,0,0,3110994,8,11680.0,0,11680670.0,0,179726.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
479556006.0,2021,1,5,0,0,3110997,17,11680.0,0,11680730.0,17,396392.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
