,기준년코드,기준분기코드,행정동코드,행정동코드명,임대시세층구분코드,임대시세층구분명,보증금평균,월임대료평균,환산임대료평균,임대건수
116,2021,2,11680660,개포1동,2,1층외,1591396.0,60153.0,76067.0,8.0
117,2021,2,11680670,개포2동,0,전체층,2791819.0,117696.0,145614.0,59.0
118,2021,2,11680670,개포2동,1,1층,2578919.0,159714.0,185503.0,25.0
119,2021,2,11680670,개포2동,2,1층외,2948364.0,86801.0,116284.0,34.0
120,2021,2,11680690,개포4동,0,전체층,1618149.0,76910.0,93091.0,114.0
121,2021,2,11680690,개포4동,1,1층,1239789.0,85730.0,98128.0,49.0
122,2021,2,11680690,개포4동,2,1층외,1903375.0,70260.0,89294.0,65.0
123,2021,2,11680700,세곡동,0,전체층,3144171.0,117811.0,149252.0,120.0
124,2021,2,11680700,세곡동,1,1층,2967311.0,162200.0,191873.0,58.0
125,2021,2,11680700,세곡동,2,1층외,3309620.0,76285.0,109381.0,62.0
126,2021,2,11680720,일원본동,0,전체층,2777358.0,107600.0,135374.0,30.0
127,2021,2,11680720,일원본동,1,1층,2522203.0,163432.0,188654.0,11.0
128,2021,2,11680720,일원본동,2,1층외,2925080.0,75276.0,104527.0,19.0
129,2021,2,11680730,일원1동,0,전체층,1461519.0,79166.0,93781.0,76.0
130,2021,2,11680730,일원1동,1,1층,1805870.0,105426.0,123485.0,46.0
131,2021,2,11680730,일원1동,2,1층외,933514.0,38900.0,48235.0,30.0
132,2021,2,11680740,일원2동,0,전체층,2197009.0,97393.0,119363.0,24.0
133,2021,2,11680740,일원2동,1,1층,3766312.0,184518.0,222181.0,6.0
134,2021,2,11680740,일원2동,2,1층외,1673908.0,68352.0,85091.0,18.0
135,2021,2,11680750,수서동,0,전체층,1726195.0,123241.0,140503.0,50.0
136,2021,2,11680750,수서동,1,1층,2131146.0,156602.0,177913.0,22.0
137,2021,2,11680750,수서동,2,1층외,1408020.0,97029.0,111109.0,28.0
138,2021,3,11620685,신사동,0,전체층,1464972.0,81901.0,96551.0,222.0
139,2021,3,11620685,신사동,1,1층,1425787.0,94713.0,108971.0,150.0
140,2021,3,11620685,신사동,2,1층외,1546609.0,55209.0,70675.0,72.0
141,2021,3,11680510,신사동,0,전체층,1944114.0,114441.0,133882.0,649.0
142,2021,3,11680510,신사동,1,1층,2615919.0,159374.0,185533.0,231.0
