기준_년,기준_분기,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대,시간대_매출금액,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,연령대_10_직장인구_비율,연령대_20_직장인구_비율,연령대_30_직장인구_비율,연령대_40_직장인구_비율,연령대_50_직장인구_비율,연령대_60_이상_직장_인구_비율,총_상주인구_수,연령대_10_상주인구_비율,연령대_20_상주인구_비율,연령대_30_상주인구_비율,연령대_40_상주인구_비율,연령대_50_상주인구_비율,연령대_60_이상_상주인구_비율,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,영역_면적
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,11~14,75795168.0,131757.0,130408.2,102239.5,1139.0,0.000877963125548727,0.1527655838454785,0.33274802458296754,0.33187006145741876,0.12467076382791922,0.05706760316066725,2245.0,0.07126948775055679,0.2026726057906459,0.30779510022271717,0.17461024498886416,0.10423162583518931,0.13942093541202671,1500.0,0.0,3218797.0,7.0,1570369626.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,65108.0
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,14~17,85477304.0,128820.0,130408.2,102239.5,1139.0,0.000877963125548727,0.1527655838454785,0.33274802458296754,0.33187006145741876,0.12467076382791922,0.05706760316066725,2245.0,0.07126948775055679,0.2026726057906459,0.30779510022271717,0.17461024498886416,0.10423162583518931,0.13942093541202671,1500.0,0.0,3218797.0,7.0,1570369626.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,65108.0
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,17~21,138515818.0,142251.0,130408.2,102239.5,1139.0,0.000877963125548727,0.1527655838454785,0.33274802458296754,0.33187006145741876,0.12467076382791922,0.05706760316066725,2245.0,0.07126948775055679,0.2026726057906459,0.30779510022271717,0.17461024498886416,0.10423162583518931,0.13942093541202671,1500.0,0.0,3218797.0,7.0,1570369626.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,65108.0
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,21~24,119635665.0,93549.0,130408.2,102239.5,1139.0,0.000877963125548727,0.1527655838454785,0.33274802458296754,0.33187006145741876,0.12467076382791922,0.05706760316066725,2245.0,0.07126948775055679,0.2026726057906459,0.30779510022271717,0.17461024498886416,0.10423162583518931,0.13942093541202671,1500.0,0.0,3218797.0,7.0,1570369626.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,65108.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,00~06,256550159.0,264777.0,150564.2,128317.0,1542.0,0.007133592736705577,0.18028534370946822,0.29507133592736706,0.24643320363164722,0.16472114137483787,0.10635538261997406,3870.0,0.05891472868217054,0.2020671834625323,0.30025839793281656,0.18010335917312661,0.1165374677002584,0.1421188630490956,2549.0,1.0,3432046.0,7.0,3043232760.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,133222.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,06~11,189463290.0,222884.0,150564.2,128317.0,1542.0,0.007133592736705577,0.18028534370946822,0.29507133592736706,0.24643320363164722,0.16472114137483787,0.10635538261997406,3870.0,0.05891472868217054,0.2020671834625323,0.30025839793281656,0.18010335917312661,0.1165374677002584,0.1421188630490956,2549.0,1.0,3432046.0,7.0,3043232760.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,133222.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,11~14,220179086.0,135055.0,150564.2,128317.0,1542.0,0.007133592736705577,0.18028534370946822,0.29507133592736706,0.24643320363164722,0.16472114137483787,0.10635538261997406,3870.0,0.05891472868217054,0.2020671834625323,0.30025839793281656,0.18010335917312661,0.1165374677002584,0.1421188630490956,2549.0,1.0,3432046.0,7.0,3043232760.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,133222.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,14~17,219028437.0,129215.0,150564.2,128317.0,1542.0,0.007133592736705577,0.18028534370946822,0.29507133592736706,0.24643320363164722,0.16472114137483787,0.10635538261997406,3870.0,0.05891472868217054,0.2020671834625323,0.30025839793281656,0.18010335917312661,0.1165374677002584,0.1421188630490956,2549.0,1.0,3432046.0,7.0,3043232760.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,133222.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,17~21,505553547.0,144801.0,150564.2,128317.0,1542.0,0.007133592736705577,0.18028534370946822,0.29507133592736706,0.24643320363164722,0.16472114137483787,0.10635538261997406,3870.0,0.05891472868217054,0.2020671834625323,0.30025839793281656,0.18010335917312661,0.1165374677002584,0.1421188630490956,2549.0,1.0,3432046.0,7.0,3043232760.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,133222.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,21~24,429160889.0,112722.0,150564.2,128317.0,1542.0,0.007133592736705577,0.18028534370946822,0.29507133592736706,0.24643320363164722,0.16472114137483787,0.10635538261997406,3870.0,0.05891472868217054,0.2020671834625323,0.30025839793281656,0.18010335917312661,0.1165374677002584,0.1421188630490956,2549.0,1.0,3432046.0,7.0,3043232760.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,133222.0
