상권_코드,상권_코드_명,행정동_코드,행정동_코드_명,center_point,latitude,longitude
3120203,강남구청역,11680531,논현2동,POINT (127.04069134743949 37.51624819863873),37.51624819863873,127.04069134743949
3120202,압구정로데오역(압구정로데오),11680545,압구정동,POINT (127.04014176981212 37.52677436311498),37.52677436311498,127.04014176981212
3120201,도곡1동,11680640,역삼1동,POINT (127.03993185464347 37.49256740134433),37.49256740134433,127.03993185464347
3120200,학동사거리,11680565,청담동,POINT (127.03914316356484 37.5230872979128),37.5230872979128,127.03914316356484
3120199,경복아파트교차로,11680640,역삼1동,POINT (127.03900810515496 37.50799352798939),37.50799352798939,127.03900810515496
3120188,압구정역,11680510,신사동,POINT (127.02808179145777 37.52546430778459),37.52546430778459,127.02808179145777
3120187,신논현역,11680521,논현1동,POINT (127.02527386300451 37.50502735503875),37.50502735503875,127.02527386300451
3120224,수서역,11680750,수서동,POINT (127.10303379753107 37.48778334773426),37.48778334773426,127.10303379753107
3120223,휘문고교사거리,11680610,대치2동,POINT (127.0656664361873 37.50434267769047),37.50434267769047,127.0656664361873
3120222,삼성역,11680610,대치2동,POINT (127.0631559336635 37.508664384144815),37.508664384144815,127.0631559336635
3120221,봉은사역,11680580,삼성1동,POINT (127.06239694023975 37.514461050532965),37.514461050532965,127.06239694023975
3120220,대치역,11680600,대치1동,POINT (127.06228078541479 37.494191939423786),37.494191939423786,127.06228078541479
3120219,은마아파트,11680630,대치4동,POINT (127.06060193613291 37.49884858205018),37.49884858205018,127.06060193613291
3120218,코엑스,11680580,삼성1동,POINT (127.05911127451093 37.512165811670926),37.512165811670926,127.05911127451093
3120217,대치사거리,11680630,대치4동,POINT (127.0584106993292 37.50303587598714),37.50303587598714,127.0584106993292
3120216,경기고교사거리(경기고교앞사거리),11680565,청담동,POINT (127.05661350162892 37.520750447996676),37.520750447996676,127.05661350162892
3120215,포스코사거리,11680590,삼성2동,POINT (127.05626383298481 37.506825209236084),37.506825209236084,127.05626383298481
3120214,영동대교남단교차로,11680565,청담동,POINT (127.05479316330397 37.524048020781834),37.524048020781834,127.05479316330397
3120213,삼성중앙역,11680590,삼성2동,POINT (127.05374720252568 37.51155234188535),37.51155234188535,127.05374720252568
3120212,한티역,11680630,대치4동,POINT (127.05359750195835 37.49742518039499),37.49742518039499,127.05359750195835
3120211,도성초등학교,11680630,대치4동,POINT (127.05245813961213 37.500636763165936),37.500636763165936,127.05245813961213
3120210,선릉역,11680630,대치4동,POINT (127.04935161427086 37.50461513797754),37.50461513797754,127.04935161427086
3120209,"강남구청(청담역_8번, 강남세무서)",11680565,청담동,POINT (127.04950679108644 37.51874512358759),37.51874512358759,127.04950679108644
3120208,청담사거리(청담동명품거리),11680565,청담동,POINT (127.04770516045544 37.524833591162256),37.524833591162256,127.04770516045544
3120186,가로수길,11680510,신사동,POINT (127.02257440945728 37.52077108251097),37.52077108251097,127.02257440945728
3120185,논현역,11680521,논현1동,POINT (127.02189884501553 37.51104305136104),37.51104305136104,127.02189884501553
3110967,역삼역 8번,11680640,역삼1동,POINT (127.03815322058999 37.50456015256568),37.50456015256568,127.03815322058999
3110966,논현2동주민센터,11680531,논현2동,POINT (127.0383042222184 37.51865478647054),37.51865478647054,127.0383042222184
3110982,강남구보훈회관,11680590,삼성2동,POINT (127.04977122321502 37.515027816628525),37.515027816628525,127.04977122321502
3110981,국악고교사거리,11680690,개포4동,POINT (127.04893310777997 37.475601873048426),37.475601873048426,127.04893310777997
3110980,개포지구대옆,11680690,개포4동,POINT (127.0478898424139 37.4805491550913),37.4805491550913,127.0478898424139
3110979,청담초등학교,11680565,청담동,POINT (127.04757316995284 37.52733530819644),37.52733530819644,127.04757316995284
