기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20221,A,골목상권,3110850,사당역 10번,CS300002,편의점,693827058,102868,488986117,204840941,93072748,100696787,95458807,93950666,105807109,113577015,91263926,70801615,68032370,65934163,84898865,208470135,195689910,459173842,234653216,7605851,172927377,239102504,152415975,84962841,36812510,72954,29914,13986,14781,14011,14867,15309,15361,14553,10413,11386,11875,14053,30169,24972,66767,36101,2387,27568,36675,20372,10649,5217
20221,A,골목상권,3110876,서원동주민센터(신관중학교),CS300002,편의점,800902279,107154,552617088,248285191,111337533,110280898,105097800,108021603,117879254,133111510,115173681,115393552,82917734,78575531,72374837,233865081,217775544,575808572,225093707,6739954,294872875,274968526,103950604,73254893,47115427,76035,31119,14907,15256,15317,15460,15095,16310,14809,13296,13545,11262,11311,31076,26664,76948,30206,2026,41314,36578,13087,9418,4731
20221,A,골목상권,3110665,곰달래도서관,CS300002,편의점,349928952,45703,244939015,104989937,47618596,48374632,46866925,48985362,53093500,54970414,50019523,33755200,47596426,36949066,47754298,99730805,84143157,212910634,137018318,3281829,65428714,114233490,88566276,49856714,28561929,33355,12348,6715,6354,6597,6977,6712,6152,6196,3901,7607,5373,6107,12941,9774,29136,16567,980,9580,15159,10491,6158,3335
20221,A,골목상권,3110622,달마을공원,CS300002,편의점,1051606918,137735,734560793,317046125,164031197,136561317,146797435,139055137,148115707,163982383,153063742,129288416,145118685,124931602,152828794,252937832,246501589,715536817,307794526,13512865,183961184,380597934,212947343,129254598,103057421,96820,40915,19454,19852,19495,18871,19148,21901,19014,15529,19560,18949,18588,33638,31471,93119,42547,3325,29894,50442,23233,16705,12066
20221,A,골목상권,3110471,응암동우체국,CS300002,편의점,153389565,19918,108812396,44577169,20942849,23774929,23525807,20372651,20196160,23643823,20933346,6687415,20479320,16353434,20916859,49940132,39012405,95641670,57747895,1045461,19188381,37328270,51498119,30889713,13439621,14303,5615,3016,2764,2967,2676,2880,2958,2657,640,3307,2492,2763,6323,4393,12967,6951,293,3295,4543,6483,3353,1951
20221,A,골목상권,3110468,응암역 3번,CS300002,편의점,1787638573,211323,1282829119,504809454,272806825,247611732,252041582,255023194,255345786,257168529,247640925,157805361,237512778,212556113,240371356,525203846,414189119,1169518534,618120039,16026685,275049793,521233844,482062109,300829366,192436776,153076,58247,30968,30498,30696,29787,31127,30330,27917,17425,33689,28652,29358,59531,42668,134409,76914,3753,40746,58884,51036,36205,20699
20221,A,골목상권,3110507,명지대학교,CS300002,편의점,1228104560,169658,872188356,355916204,172993391,174324211,164125679,172532866,188212209,194397743,161518461,112178918,125628628,158660247,179322025,361920015,290394727,767463323,460641237,17589181,305220500,323850802,263232692,224587901,93623484,121371,48287,25088,23992,22981,24567,24743,25428,22859,13335,21172,22560,24966,50397,37228,103926,65732,4647,52523,40588,31403,27043,13454
20221,A,골목상권,3110542,마포구청역 7번,CS300002,편의점,420780353,65334,303982528,116797825,59460047,57081046,59610904,59654505,68176026,60608072,56189753,33013101,59411626,47639389,53415895,125780836,101519506,261012060,154771871,2089729,92733378,122482094,103739754,67966152,26772826,48182,17152,9246,9455,9715,9886,9880,8726,8426,4633,10813,9101,8796,19058,12933,38746,26238,563,15664,18067,16061,10893,3736
20221,A,골목상권,3110520,경의중앙 신촌역,CS300002,편의점,53175703,7555,36034928,17140775,7075394,5660248,7270154,7513855,8515277,8799944,8340831,5812234,7400083,6170713,5859568,14462940,13470165,37396370,15779333,518812,19186574,18698828,7022328,4350070,3399091,5310,2245,986,1012,1012,1180,1120,1213,1032,704,1140,1039,1133,1943,1596,4949,2606,88,3046,2540,832,569,480
20221,D,발달상권,3120101,합정역,CS300002,편의점,3281758526,492898,2594741070,687017456,445966085,404848074,412376681,597499836,734050394,409880038,277137418,177907342,538965958,527911245,383321876,1086717761,566934344,1772522967,1042207726,29612808,823067808,840848537,553123503,384161204,183916833,374417,118481,73262,69810,74764,79957,76624,68215,50266,23487,116392,74686,71432,128868,78033,282720,204971,7443,168135,146530,78236,58850,28491
