기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20223,A,골목상권,3110739,시흥3동 우편취급국,29958,15939,14019,5142,2851,4168,5228,5488,7081,5112,7017,4737,4749,5449,2894,4384,4456,4505,4428,4382,4004,3798
20223,A,골목상권,3110738,문성초등학교,859673,419571,440102,66161,122579,149542,136254,167207,217930,227114,161605,98177,102208,152312,118256,122646,120189,120064,121097,121239,126230,128208
20223,A,골목상권,3110737,금천세무서,1472167,749141,723026,137154,249868,301314,257562,243286,282983,426919,307614,155987,155514,231856,194277,210985,209599,207438,207618,204145,212131,220249
20223,A,골목상권,3110736,독산119안전센터,831861,416277,415584,63405,120504,156581,132437,160187,198745,234739,167336,90759,90635,136447,111945,118043,116114,115576,115433,116004,122596,128094
20223,A,골목상권,3110735,말미고개,1048641,518636,530006,94607,154081,197482,156643,184597,261230,343960,206200,100135,97880,150315,150150,149848,147943,146397,145498,146667,152805,159481
20223,A,골목상권,3110734,금천파출소,25600,12566,13035,2146,3866,5365,4027,4650,5548,5144,4476,3244,3524,5651,3561,3577,3592,3592,3556,3607,4088,3590
20223,A,골목상권,3110733,금천어울림복지센터,251837,120878,130959,33328,35501,47155,42765,41401,51686,52521,48240,33208,34321,48357,35193,36482,36169,36475,36395,36690,34894,34732
20223,A,골목상권,3110732,가산초등학교(세일중학교),381154,201836,179319,33209,74813,79534,59633,59489,74477,90368,80384,47844,47948,67087,47524,54561,54413,54347,54633,53858,53656,55687
20223,A,골목상권,3110731,금천구청역 1번 출입구,414066,197305,216761,36332,62764,70533,63584,74230,106623,71784,81604,60710,65327,85960,48681,59441,59762,60025,60423,60542,58677,55196
20223,A,골목상권,3110730,서울축산농협 독산역지점(독산파출소),544881,281301,263581,53053,103573,133322,81322,81008,92602,158858,115438,57823,56440,83283,73038,78249,77428,77368,76488,76647,77833,80868
20223,A,골목상권,3110729,가산동우체국,609462,332060,277403,25312,157581,156517,93479,78516,98059,156709,126803,70908,71573,102959,80510,86860,85687,85647,85139,84288,88131,93710
20223,A,골목상권,3110728,두산초등학교,173322,91746,81575,13583,33361,40155,28884,27825,29514,43900,37945,21243,20507,26689,23041,25368,25827,25957,25902,25521,22561,22186
20223,A,골목상권,3110727,독산역 1번 출입구,384755,200357,184398,36234,79289,100427,57238,53376,58192,103580,84272,44225,43803,60804,48070,56282,56197,56057,55477,54818,52476,53450
20223,A,골목상권,3110726,금천철쭉어린이공원(금하마을),416306,207199,209107,86511,49333,59007,61785,67053,92618,109139,88482,46022,46803,70419,55441,59580,59412,59142,58515,58364,60238,61055
20223,A,골목상권,3110725,가산동주민센터,206691,111490,95201,6721,51860,54185,38260,30847,24817,32876,43526,34821,35471,39283,20714,30615,31502,31627,31355,30845,25585,25164
20223,A,골목상권,3110724,금천구립가산도서관,607832,339463,268369,33800,150754,175786,94459,68591,84440,194038,132015,61449,58600,82368,79361,86171,85954,84854,84208,82910,88005,95732
20223,A,골목상권,3110723,가산디지털단지역 1번 출입구,306601,178005,128597,15509,52470,60682,59139,60694,58107,56598,70461,46471,46313,54835,31923,46587,49023,49342,48666,46713,33046,33222
20223,A,골목상권,3110722,G타워,345798,201244,144555,9723,105109,105715,61789,32088,31374,91512,76641,46093,44046,48590,38915,51802,53277,53302,52751,50074,41766,42827
20223,A,골목상권,3110721,가리봉파출소,1153878,649961,503917,35608,295353,324623,187516,153746,157031,312432,248235,138860,139958,175463,138931,167385,171291,171955,170650,165134,150163,157299
20223,A,골목상권,3110720,대림역 2번,1060381,515202,545180,110837,99842,163366,178914,223028,284393,287680,210848,114050,119344,183747,144712,151473,149142,146620,146895,147109,153889,165252
20223,A,골목상권,3110719,영서중학교,311069,157030,154038,36459,47220,68133,66602,45803,46851,55407,69643,56041,53348,47835,28795,49003,51723,51910,51458,48502,29392,29080
20223,A,골목상권,3110718,한국SGI본부,953026,459956,493070,79868,172235,209079,157321,141218,193304,189023,192762,132308,138686,191175,109072,137019,137857,139557,139386,140376,135042,123790
20223,A,골목상권,3110717,남구로역 2번,2987451,1526059,1461392,300765,316548,555143,577146,528750,709099,923658,614097,313034,305615,438228,392820,436396,436660,434455,432121,424464,404271,419085
20223,A,골목상권,3110716,구로나눔길,394396,194307,200088,38598,49764,62564,68567,81481,93421,107040,78230,46128,46405,65123,51470,56328,55524,55351,54737,55393,56692,60372
20223,A,골목상권,3110715,구로구민회관,284809,139077,145733,36791,42254,54385,49365,47558,54457,69323,58830,37850,36758,47135,34913,41430,41763,41557,41288,40927,38493,39352
20223,A,골목상권,3110714,구로4동주민센터,1518693,741854,776838,149783,145437,215207,251764,321813,434686,393924,292837,181233,188069,265064,197565,217145,213215,211558,211277,211634,220226,233638
20223,A,골목상권,3110713,구로보건소,2864600,1337799,1526800,324228,366235,531483,476970,471913,693770,743781,579379,345139,345363,487194,363742,409044,402658,402333,398411,397729,415047,439379
20223,A,골목상권,3110712,남구로역 5번,2148269,1059131,1089138,176478,216206,335822,411640,416503,591620,585429,416241,233247,240604,366605,306145,313234,305568,303855,302264,302273,304163,316913
20223,A,골목상권,3110711,구로초등학교,1296862,630368,666493,120673,155458,209600,235193,260188,315751,332386,274124,160483,165986,208585,155297,188478,186399,185612,183481,181008,179960,191924
