기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20233,A,골목상권,3110627,신정롯데캐슬아파트,1426422,661326,765096,365654,157205,145090,252637,224418,281418,347288,277406,178069,181302,261293,181064,201634,199796,201084,200426,200535,211099,211850
20233,A,골목상권,3110626,양화초등학교,1416147,631265,784881,187683,207370,296724,212427,192591,319352,452068,299947,138521,131133,203278,191201,199248,198164,195298,196544,194448,209782,222664
20233,A,골목상권,3110625,신정2동주민센터,865753,400474,465278,256601,78734,86549,168624,132445,142799,207315,174185,105673,111522,157461,109596,122821,122700,122934,121577,120781,126141,128800
20233,A,골목상권,3110624,목동문화체육센터,476368,222301,254067,102295,61421,65494,70165,81652,95339,146503,97069,44304,45561,73844,69086,65933,65869,65536,65946,65526,72083,75474
20233,A,골목상권,3110623,갈산공원,83660,39276,44384,15794,9676,9175,13466,13689,21859,24887,18750,8827,8433,12005,10759,11809,11794,11704,11756,11699,12245,12654
20233,A,골목상권,3110622,달마을공원,496741,220638,276102,57249,72299,102485,78405,73156,113147,137040,99726,52268,54674,84054,68978,70495,69548,69781,69109,69055,73805,74948
20233,A,골목상권,3110621,목동역 5번,186641,81108,105533,65155,17507,18909,34457,25301,25312,23709,32571,29511,35863,46056,18931,26657,26205,26822,26259,26769,28722,25206
20233,A,골목상권,3110620,목동보건지소,2021418,970837,1050581,485990,235657,242487,321675,328161,407449,607179,407712,205385,201893,314044,285207,288001,285672,282894,283890,282204,292730,306027
20233,A,골목상권,3110619,목4동주민센터,343743,159959,183785,70421,46217,39392,59030,59593,69093,93499,66279,36121,38908,61170,47766,47760,47899,46830,47559,47623,52636,53438
20233,A,골목상권,3110618,강서고등학교,1576680,754350,822330,343364,208863,198154,266819,254984,304497,520497,328427,151396,144853,215325,216182,224818,222031,221357,221145,219697,229136,238494
