기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20221,R,전통시장,3130325,명일전통시장,3593165.0,7.0,762846136.0,200045982.0,92132092.0,50249063.0,95837650.0,118377471.0,27811608.0,21649307.0,124136975.0,32605988.0
20221,R,전통시장,3130326,고덕 골목형상점가,2356081.0,5.0,40697223.0,11206611.0,4772763.0,2901471.0,5713560.0,6213800.0,1627622.0,1170775.0,5555774.0,1534847.0
20221,U,관광특구,3001491,이태원 관광특구,3036321.0,7.0,3597923964.0,892652401.0,452992792.0,300767570.0,434227797.0,622505959.0,158308758.0,113915725.0,466848178.0,155704784.0
20221,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,3071908.0,7.0,799060474.0,198543079.0,109338730.0,65537299.0,100540265.0,145153295.0,47266880.0,23816404.0,73392736.0,35471786.0
20221,U,관광특구,3001493,동대문패션타운 관광특구,3624671.0,7.0,1889505008.0,405055507.0,242124953.0,165935630.0,198916229.0,327809433.0,100912376.0,55876056.0,315385781.0,77489043.0
20221,U,관광특구,3001494,종로?청계 관광특구,2268084.0,5.0,1880810046.0,502934723.0,242166818.0,151381021.0,253103975.0,314564008.0,93975919.0,58322993.0,183968103.0,80392486.0
20221,U,관광특구,3001495,잠실 관광특구,4220819.0,8.0,8751576599.0,1816408874.0,1103986952.0,722602116.0,917183031.0,1534513036.0,468534099.0,243707454.0,1598783308.0,345857729.0
20222,A,골목상권,3110001,이북5도청사,4354652.0,8.0,520427635.0,129126028.0,64853632.0,37122367.0,65974602.0,88343761.0,22223650.0,14656697.0,76185341.0,21941557.0
20222,A,골목상권,3110002,독립문역 1번,3463885.0,7.0,232465205.0,54998987.0,28932090.0,17084860.0,28271372.0,40933079.0,10180461.0,6575012.0,35805283.0,9684061.0
20222,A,골목상권,3110003,세검정초등학교,3474789.0,7.0,1349699230.0,336704220.0,166150296.0,98720958.0,170559024.0,227367090.0,54707608.0,39088030.0,199219764.0,57182240.0
20222,A,골목상권,3110004,대신고등학교,2644953.0,6.0,712772785.0,205649728.0,84170011.0,51668351.0,100817261.0,111843712.0,23406627.0,22615164.0,82865155.0,29736776.0
20222,A,골목상권,3110005,세검정,3768541.0,8.0,884701599.0,221446948.0,109882417.0,64738346.0,111988892.0,149822911.0,37478670.0,25606895.0,126544371.0,37192149.0
20222,A,골목상권,3110006,부암동주민센터,3963935.0,8.0,267177363.0,71242932.0,32618743.0,19192280.0,36992515.0,42702682.0,11024632.0,7714004.0,34834591.0,10854984.0
20222,A,골목상권,3110007,사직공원(한국사회과학도서관),2770422.0,6.0,1357989746.0,348226174.0,164289545.0,100434478.0,171335953.0,225229175.0,49504697.0,40857513.0,200194461.0,57917750.0
20222,A,골목상권,3110008,배화여자대학교(박노수미술관),3443668.0,7.0,2746062777.0,683186826.0,329541269.0,198922162.0,341873952.0,461869492.0,103948914.0,80125777.0,434007126.0,112587259.0
20222,A,골목상권,3110009,자하문터널,3702978.0,7.0,982492942.0,236811262.0,122600914.0,72225683.0,119525631.0,171575865.0,41212214.0,28357226.0,148304362.0,41879785.0
20222,A,골목상권,3110010,평창동서측,4492856.0,8.0,2243586695.0,538964071.0,281544320.0,169148070.0,283258355.0,404132363.0,96928651.0,63144544.0,309164149.0,97302172.0
20222,A,골목상권,3110011,청운초등학교,4237174.0,8.0,284960476.0,72815096.0,33939883.0,20375958.0,37447312.0,48549219.0,9846527.0,8188528.0,41677963.0,12119990.0
20222,A,골목상권,3110012,성곡미술관,5448355.0,9.0,1224738411.0,273854172.0,152375434.0,97840852.0,143955451.0,223172184.0,55335090.0,34182648.0,193085753.0,50936827.0
20222,A,골목상권,3110013,체부동홍종문가옥,3732442.0,7.0,190109278.0,47549857.0,23715458.0,14588549.0,23273330.0,31499997.0,8440927.0,5717126.0,27452725.0,7871309.0
20222,A,골목상권,3110014,경복고등학교,5290159.0,9.0,246628270.0,60033663.0,29847166.0,17931705.0,30512782.0,42137551.0,9425497.0,7095605.0,39330058.0,10314243.0
20222,A,골목상권,3110015,청와대사랑채,3980058.0,8.0,340654450.0,82062934.0,41584595.0,24596132.0,41047707.0,58114084.0,13813568.0,9787602.0,55694208.0,13953620.0
20222,A,골목상권,3110016,평창동동측,4884771.0,8.0,1635958594.0,408705625.0,205647377.0,128448029.0,224885242.0,302457726.0,67401456.0,46565711.0,178212076.0,73635352.0
20222,A,골목상권,3110017,정독도서관,3978549.0,8.0,488287266.0,130969540.0,58775262.0,35505747.0,66069945.0,78411323.0,18545568.0,14438314.0,65414259.0,20157308.0
20222,A,골목상권,3110018,중앙고등학교,3430192.0,7.0,1569319603.0,412408387.0,186273004.0,112912049.0,206502191.0,255458150.0,55128487.0,46917612.0,228907288.0,64812435.0
20222,A,골목상권,3110019,창덕궁,2496875.0,6.0,266124846.0,88835562.0,30923562.0,19943040.0,44779439.0,36997427.0,8813062.0,8884951.0,15987046.0,10960757.0
20222,A,골목상권,3110020,서울국제고등학교,2736810.0,6.0,1893277180.0,452132567.0,252800465.0,124254004.0,230932468.0,243437040.0,68238981.0,71326707.0,354675459.0,95479489.0
20222,A,골목상권,3110021,성균관대학교,2902668.0,6.0,1062083531.0,242915806.0,149142873.0,64336647.0,128741468.0,119906366.0,38074560.0,43410868.0,217013206.0,58541737.0
20222,A,골목상권,3110022,경신고등학교,3478003.0,7.0,879563907.0,213067686.0,112630640.0,67054373.0,103617117.0,141197378.0,35771940.0,28983203.0,137249616.0,39991954.0
20222,A,골목상권,3110023,서울대병원,3548230.0,7.0,430124011.0,108261409.0,56900899.0,32354969.0,52009106.0,63413630.0,16013724.0,16065073.0,63589499.0,21515702.0
20222,A,골목상권,3110024,혜회동주민센터,3655720.0,7.0,526235130.0,139291704.0,65438122.0,42020919.0,64590263.0,87008490.0,19119069.0,17469686.0,67542127.0,23754750.0
20222,A,골목상권,3110025,충신시장옆,2770370.0,6.0,232818153.0,65006144.0,27756184.0,17256496.0,32610254.0,37600382.0,8314184.0,7107301.0,27335346.0,9831862.0
20222,A,골목상권,3110026,종로5가역 4번,2729503.0,6.0,76260454.0,21823990.0,9075986.0,6042567.0,10672979.0,11514334.0,2981752.0,2362812.0,8598637.0,3187397.0
20222,A,골목상권,3110027,혜화역 1번,2786575.0,6.0,1443674534.0,391481162.0,179288938.0,116867284.0,184492749.0,236358594.0,54193159.0,48258484.0,168001121.0,64733043.0
20222,A,골목상권,3110028,이화달팽이길,2461097.0,6.0,2099016363.0,639329757.0,248972562.0,159409307.0,299500785.0,301059297.0,70261739.0,71476579.0,220277672.0,88728665.0
20222,A,골목상권,3110029,동대문역 1번,2098071.0,5.0,2352986552.0,659783363.0,287389889.0,169339859.0,327501098.0,377518732.0,89632191.0,72189677.0,269265170.0,100366573.0
20222,A,골목상권,3110030,동대문역 3번,2376672.0,5.0,202754119.0,61441032.0,24968377.0,15823019.0,28866329.0,30616584.0,7693806.0,6935870.0,17579785.0,8829317.0
20222,A,골목상권,3110031,창신역 1번,2216896.0,5.0,173868489.0,45141262.0,20668280.0,12932600.0,22534705.0,27324757.0,7226782.0,5030391.0,26311029.0,6698683.0
20222,A,골목상권,3110032,수족관거리,1616161.0,3.0,37011348.0,12883390.0,4017247.0,2639098.0,6458207.0,4539540.0,1084927.0,1254786.0,2791718.0,1342435.0
20222,A,골목상권,3110033,창신역 4번,2207936.0,5.0,771111000.0,230468757.0,91940506.0,57505223.0,112879956.0,117145190.0,27565941.0,25029917.0,76622365.0,31953145.0
20222,A,골목상권,3110034,창신1동주민센터,960234.0,1.0,212483540.0,49432815.0,27653368.0,19245036.0,25105535.0,37878744.0,12449939.0,6292711.0,25742901.0,8682491.0
20222,A,골목상권,3110035,동묘앞역 2번,2251484.0,5.0,1867544638.0,488425345.0,230385021.0,142967202.0,243512791.0,311826547.0,76004204.0,56690392.0,238086999.0,79646137.0
20222,A,골목상권,3110036,동묘앞역 3번,2674433.0,6.0,173906013.0,50746058.0,22051894.0,13501570.0,26061963.0,27145360.0,8703146.0,5392054.0,13193033.0,7110935.0
20222,A,골목상권,3110037,신설동역 12번,2191167.0,5.0,969598430.0,262179152.0,118727232.0,73090506.0,130450078.0,159492052.0,37976067.0,29783809.0,116832396.0,41067138.0
20222,A,골목상권,3110038,경향신문사,1554706.0,3.0,120364348.0,26113277.0,16138176.0,9523996.0,13534076.0,21828081.0,7297769.0,3256743.0,17781966.0,4890264.0
20222,A,골목상권,3110039,회현역 1번,1988593.0,4.0,57559772.0,16923406.0,6944456.0,4334470.0,8220158.0,8674709.0,1951291.0,1797597.0,6197884.0,2515801.0
20222,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),2645687.0,6.0,1230137661.0,285017387.0,169145056.0,104420733.0,149384089.0,231661366.0,78208534.0,35490261.0,123986138.0,52824097.0
20222,A,골목상권,3110041,남산케이블카,2435163.0,5.0,597007525.0,164215379.0,74358370.0,47525151.0,81816669.0,100564848.0,23365183.0,19141947.0,59464645.0,26555333.0
20222,A,골목상권,3110042,남산골공원옆,3232386.0,7.0,1228216215.0,300614799.0,155138355.0,100978895.0,149414950.0,216454258.0,54911568.0,37871296.0,159601119.0,53230975.0
20222,A,골목상권,3110043,충무초등학교,2824585.0,6.0,1564568535.0,333834282.0,220911534.0,102635867.0,180945378.0,201060327.0,61370630.0,62072285.0,316247538.0,85490694.0
20222,A,골목상권,3110044,관성묘,2847641.0,6.0,178946367.0,39464666.0,22052926.0,12900662.0,20263431.0,28796053.0,7181727.0,5441096.0,35346775.0,7499031.0
20222,A,골목상권,3110045,동대문역사문화공원역 5번,2461667.0,6.0,354161658.0,103353623.0,43032903.0,27817964.0,49433273.0,51400081.0,11669162.0,12514697.0,39106596.0,15833359.0
