기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20222,A,골목상권,3110328,상월곡역 3번,CS300002,편의점,404113373,55349,284837316,119276057,53422830,54290366,53210633,63517512,60395975,61446658,57829399,47733826,57682037,44387108,43516409,119031807,91762186,261803506,142309867,4097394,99679871,119241776,78886568,72023298,30184466,39874,15475,7749,7725,7530,8869,8001,7643,7832,6150,9583,6784,6175,15028,11629,36125,19224,920,15650,15731,9481,8904,4663
20222,A,골목상권,3110287,정릉3동주민센터,CS300002,편의점,414071139,67212,297931838,116139301,60212596,59487212,57016696,56647297,64568037,58594382,57544919,72326393,69855465,48920020,59121373,87919093,75928795,293197531,120873608,22214264,96453611,88544112,92926121,81883825,32049206,50071,17141,10008,10569,9488,9750,10256,8707,8434,9132,12063,9187,11104,14362,11364,46022,21190,6433,17853,11293,14502,12687,4444
20222,A,골목상권,3110295,정릉우체국,CS300002,편의점,703668962,110468,498938208,204730754,98468205,101443512,98645605,93210553,107170333,101667459,103063295,79819582,95673689,89589415,90974276,194962645,152649355,420968701,282700261,25492542,147219837,138449988,181682378,124852415,85971802,79175,31293,15505,15929,15457,15201,17083,16428,14865,10837,17165,14126,15058,29836,23446,63932,46536,6021,26910,23256,26166,17379,10736
20222,A,골목상권,3110361,삼양사거리역 1번,CS300002,편의점,228585756,37446,166435306,62150450,28338639,32699886,37019766,31890034,36486981,36709529,25440921,21434575,36580006,23717807,35653511,60996002,50203855,151088334,77497422,2684078,44188356,71924915,36616281,44328999,28843127,27915,9531,5322,5530,5837,5343,5883,5316,4215,3157,7178,4549,5589,9393,7580,23447,13999,855,9019,12499,5218,6125,3730
20222,R,전통시장,3130148,방학동도깨비시장,CS300002,편의점,503713496,66842,354294675,149418821,60523501,68782206,76034730,77499633,71454605,77167727,72251094,125563,103003589,63350345,84357469,151898693,100977837,339988636,151591280,6898209,21867063,62670009,135521363,155762565,108860705,46500,20342,8036,8915,9962,9793,9794,10045,10297,42,15486,8120,10756,19170,13268,45751,20171,1611,3868,8621,17206,22986,11630
20222,A,골목상권,3110397,도봉산입구,CS300002,편의점,1646568122,248184,1088241692,558326430,211549405,208562664,221195749,196550908,250382966,285127631,273198799,218735671,277803966,216089825,219561448,408283927,306093285,1141624849,502981667,25653910,247080096,298931065,362144350,429125580,281671514,161047,87137,31266,31430,33347,30826,34178,43216,43921,29843,49351,35398,36310,57215,40067,173050,74942,7542,45548,45835,49282,57806,41979
20222,A,골목상권,3110426,상계2동주민센터,CS300002,편의점,295880317,41489,212051098,83829219,46226985,35036324,45002800,35018557,50766432,37664712,46164507,30538855,47259832,31547101,38272705,89853308,58408516,214703462,81176855,1804372,41435081,49092788,102172169,55554121,45821786,29677,11812,5954,5819,5915,5311,6678,5857,5955,4667,7654,5467,5428,10600,7673,29391,12098,236,7201,7591,11880,8383,6198
20222,A,골목상권,3110418,광운대학교 남단,CS300002,편의점,199507745,32454,140859813,58647932,27613167,27392830,29476798,27197841,29179177,28890992,29756940,35247537,32465711,18320617,21789478,48577805,43106597,126218237,73289508,6840758,43770297,50922188,49150346,33941717,14882439,23140,9314,4577,4754,4681,4412,4716,4816,4498,5134,6251,3705,4112,6769,6483,20576,11878,2104,8540,7527,6923,5035,2325
20222,A,골목상권,3110728,두산초등학교,CS300002,편의점,371147001,51848,253861382,117285619,46712693,55624699,47836189,51279007,52408794,62642031,54643588,53583988,47509530,59256570,36083616,101423575,73289722,235225815,95188867,561245,101075280,119882543,63716094,26017294,19162224,34880,16968,6742,7246,6767,6855,7270,8804,8164,7069,7182,6793,5723,14100,10981,34742,14754,176,17924,18038,7132,3736,2491
20222,D,발달상권,3120173,교대역(법원.검찰청),CS300002,편의점,6302362453,1161738,5068399478,1233962975,987706146,1039570936,996929994,1024699927,1019492475,673601397,560361578,387270945,1446900862,1077558253,936763287,1498720179,955148927,3881253874,1773460703,119590239,1083268512,1476229048,1314831243,1127925934,532869607,937567,224171,180820,194680,185415,185127,191525,124500,99671,56483,302754,207956,171744,264948,157853,696509,393680,40495,254187,293259,227276,192793,82188
