매출_금액,기준_년도,기준_분기,시간대,상권_구분_코드_명,상권_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,행정동_코드_명,영역_면적,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_가구_수,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
49173803,2021,1,시간대_00~06_매출_금액,발달상권,한티역,1134138244,243729,798242553,335895691,144412604,162668873,165541450,157325553,168294073,186236801,149658890,111456230,194805580,181113646,345142550,224905491,45546294,175345,68384,33870,35766,36996,33800,34913,37530,30854,7399,37412,43073,41956,74520,39369,34918,46680,35283,69628,47190,7462,204740,444220,대치4동,112734,975517,334839,96930,96344,203364,129483,114555,145450,171201,149591,171621,225974,111680,135191,138601,139161,136927,135399,150503,139734,1483,271,240,150,288,289,245,683,753,1,118,182,201,143,108,4127153.0,8.0,1067199535.0,243618363.0,132904894.0,74723901.0,116662603.0,174989831.0,42378327.0,30287874.0,206090368.0,45543374.0,65,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
222560783,2021,1,시간대_00~06_매출_금액,발달상권,은마아파트,3865821806,817947,2667710097,1198111709,497347363,525806376,569744334,512389580,562422444,612410699,585701010,247588684,706422263,553694487,1045307264,1072952082,231043443,562422,255525,109081,112821,119383,103626,117511,130178,125347,37789,111831,138955,139533,242931,146908,95854,161774,106476,224334,193886,34288,205359,444378,대치4동,149660,1096105,418572,111807,98513,199675,139565,127973,191251,193633,156901,182261,250100,121960,152769,152911,154062,151098,151031,172958,161276,1101,225,169,92,250,189,176,436,17175,202,3397,3819,3179,4061,2517,5082667.0,9.0,827566344.0,186943146.0,103101703.0,58182704.0,91503748.0,141790421.0,34494221.0,22795703.0,153676949.0,35077749.0,58,0.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
479484898,2021,1,시간대_00~06_매출_금액,발달상권,뱅뱅사거리,5988796084,895452,4659544753,1329251331,913215989,955983071,941614126,859983137,988748430,749111361,580139970,36789522,1302156264,1876043699,1284288799,780217049,297697074,718708,176744,143512,149294,149765,133274,142863,96850,79894,56805,180517,162699,132416,216251,146764,12473,218071,282448,189971,114299,44311,202785,443423,역삼1동,317600,2329412,198338,440586,613118,477666,294087,305619,412859,506964,392661,385152,403147,228629,370241,379714,375627,363245,344583,254177,241826,6623,509,1616,2037,1095,647,719,4718,27363,72,5748,8234,6678,4352,2279,4243697.0,8.0,3473998985.0,775132929.0,447504051.0,299824965.0,368323842.0,581284915.0,167186468.0,112849645.0,570086330.0,151805840.0,85,2.0,13.0,0.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
258898514,2021,1,시간대_00~06_매출_금액,발달상권,강남을지병원,3240742893,466270,2565297550,675445343,503286919,511222211,536101816,480854581,533832023,395531491,279913852,9536773,721041155,1041177148,704629910,352569677,119696890,384704,81566,75751,78885,81493,73735,74840,46397,35169,27019,104526,108101,68640,97666,60318,2493,128187,153779,89363,51194,17238,202498,446725,압구정동,295195,1416390,102465,296257,381478,294748,158226,183216,228882,282441,251111,259207,266165,128584,217985,230520,228395,220969,212131,165067,141324,2366,254,457,495,423,288,449,1367,11725,44,3417,3232,2506,1512,1014,3360098.0,7.0,1867827087.0,433101939.0,233668445.0,152366048.0,208092323.0,328309517.0,80296880.0,57019975.0,294713159.0,80258801.0,75,0.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
178098052,2021,1,시간대_00~06_매출_금액,발달상권,학동사거리,3125206188,406879,2321339511,803866677,451074867,468346224,479345538,439187383,483385499,460179053,343687624,12820145,665763356,907354247,618788600,345103079,215915901,314232,92647,60225,65105,66102,59754,63046,52744,39903,18146,83949,84763,70531,100042,49448,2396,111845,131276,73656,42165,25339,203460,447067,청담동,266597,1306735,89353,311305,362624,245326,146459,151667,146098,236391,257886,270441,289688,106232,186340,206003,207408,200513,196031,174721,135719,976,88,166,208,160,125,229,565,9363,26,2868,3075,1848,1005,541,3402858.0,7.0,1006064987.0,234042223.0,125570404.0,82627365.0,114846472.0,179655969.0,42601111.0,30605275.0,152498700.0,43617468.0,81,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
66043755,2021,1,시간대_00~06_매출_금액,발달상권,가로수길,1253510761,216877,955761413,297749348,173230304,193268044,197959176,179706542,211597347,174559619,123189729,25692315,396420212,359890588,183378434,128028376,32645823,166208,50669,31700,33864,34948,31747,33949,28517,22152,7813,41971,44061,40431,53830,28771,8102,82023,62221,28356,20703,5322,201996,446810,신사동,256688,2382999,259262,539642,556535,418521,267995,341046,327462,420189,410545,455833,545777,223193,348224,364452,365415,358770,352911,317765,275464,3152,378,495,607,589,437,646,1777,6518,19,1316,2133,1570,895,585,3602514.0,7.0,2489687551.0,589883506.0,309226730.0,199643898.0,284332831.0,434636261.0,102125919.0,76064185.0,386594435.0,107179786.0,44,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
185035957,2021,1,시간대_00~06_매출_금액,발달상권,르네상스호텔사거리,1712550146,245883,1394520426,318029720,258380897,296795688,295850280,242826035,300667526,185335672,132694048,4340374,473964202,498228578,340677309,273466668,70055914,208924,36959,41416,43581,43980,37672,42275,21224,15735,18126,49804,50325,39572,52079,35977,925,71274,71329,56199,32558,9018,203786,444848,역삼1동,160960,1747214,143548,303648,445527,374378,242448,237666,212407,382852,343285,341547,324788,142333,286892,302087,298022,285711,267233,167657,139612,1595,107,316,509,318,182,163,1127,41471,102,8167,11056,10671,10081,1394,3950805.0,8.0,1790026304.0,354137379.0,217919661.0,155205039.0,174329144.0,308034810.0,88538680.0,49387756.0,374178020.0,68295815.0,30,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
89328369,2021,1,시간대_00~06_매출_금액,골목상권,국악고교사거리,879871101,121580,654591344,225279757,121004976,133948028,146507977,110901697,142228666,129646002,95633755,14493883,125957443,227742999,217514884,207437252,70458840,92576,29004,17722,19088,19668,16670,19428,15990,13014,11252,21719,17737,19383,29393,22096,3720,21527,30287,30668,24895,8912,204328,441797,개포4동,67409,448677,67589,58018,82568,83035,75676,81793,101850,87651,60672,58999,81717,57788,65910,66667,66154,65114,64166,61018,59649,2118,303,333,373,344,391,374,907,361,2,57,77,110,81,34,3081543.0,7.0,895864770.0,207906896.0,111935813.0,67391314.0,103996115.0,160762137.0,37681337.0,25976200.0,141540050.0,38674908.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321163052,2021,1,시간대_00~06_매출_금액,발달상권,구역삼세무서,2946982777,424836,2256033017,690949760,460780877,448781176,469601535,399365004,477504425,373403528,317546232,14481059,708143230,1044000550,667330130,295198898,131598417,338721,86115,68602,69541,71487,61986,67105,45406,40709,36134,86512,78153,58491,99170,66376,3385,122567,149082,84270,41244,16775,203290,444009,역삼1동,291470,2596449,170437,590709,735383,491402,282278,326240,545993,550935,400228,394995,431329,272968,402656,413651,408365,398590,378956,297929,296301,7376,479,1410,1908,1355,980,1244,5072,11531,23,2691,3529,2889,1562,837,3332219.0,7.0,3913260246.0,952094191.0,500629491.0,324229415.0,444550986.0,664166108.0,160375193.0,131875037.0,556902399.0,178437426.0,37,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
17654966,2021,1,시간대_00~06_매출_금액,골목상권,개포고등학교,232247470,36316,164084201,68163269,30331434,30518586,35960165,30651771,36622245,36642610,31520659,7440083,46659736,52393593,50184123,42245837,27148443,25519,10797,5022,4975,5265,4749,5508,5656,5141,2421,6684,6712,5680,8836,5983,2259,9317,7399,7829,5906,3295,205433,442662,개포2동,61589,575363,103771,64118,77043,95681,88225,146525,179726,124011,64341,60110,75778,71398,83006,83780,83928,83185,82446,80373,78648,1777,275,226,239,263,285,489,797,494,7,65,161,123,110,28,3250126.0,7.0,402347163.0,97572318.0,49511431.0,28962441.0,48913433.0,69884592.0,15715409.0,11490675.0,63021528.0,17275336.0,16,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
