기준_년,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,1분기,2분기,3분기,4분기,시간대_00~06,시간대_06~11,시간대_11~14,시간대_14~17,시간대_17~21,시간대_21~24,시간대_매출금액,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액
2021,A,골목상권,3110992,도곡초등학교,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,108138605.0,211489.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
2021,A,골목상권,3110992,도곡초등학교,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,116573164.0,365743.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
2021,A,골목상권,3110992,도곡초등학교,11680.0,강남구,11680630.0,대치4동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,83259772.0,488405.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
2021,A,골목상권,3110994,개포고등학교,11680.0,강남구,11680670.0,개포2동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,47578145.0,71398.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
2021,A,골목상권,3110994,개포고등학교,11680.0,강남구,11680670.0,개포2동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,60979405.0,75778.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
2021,A,골목상권,3110994,개포고등학교,11680.0,강남구,11680670.0,개포2동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,34358203.0,60110.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
2021,A,골목상권,3110994,개포고등학교,11680.0,강남구,11680670.0,개포2동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,34791016.0,64341.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
2021,A,골목상권,3110994,개포고등학교,11680.0,강남구,11680670.0,개포2동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,36885735.0,124011.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
2021,A,골목상권,3110994,개포고등학교,11680.0,강남구,11680670.0,개포2동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,17654966.0,179726.0,83269.0,79510.5,494.0,1777.0,797.0,16.0,3250126.0,7.0,402347163.0
2021,A,골목상권,3110997,대청초등학교,11680.0,강남구,11680730.0,일원1동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,479556006.0,396392.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
2021,A,골목상권,3110997,대청초등학교,11680.0,강남구,11680730.0,일원1동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,586223612.0,390170.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
2021,A,골목상권,3110997,대청초등학교,11680.0,강남구,11680730.0,일원1동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,266340038.0,273425.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
2021,A,골목상권,3110997,대청초등학교,11680.0,강남구,11680730.0,일원1동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,220175262.0,296107.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
2021,A,골목상권,3110997,대청초등학교,11680.0,강남구,11680730.0,일원1동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,288779192.0,614126.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
2021,A,골목상권,3110997,대청초등학교,11680.0,강남구,11680730.0,일원1동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,191954664.0,937469.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
2021,A,골목상권,3110999,윗방죽마을공원,11680.0,강남구,11680700.0,세곡동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,153626534.0,22953.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
2021,A,골목상권,3110999,윗방죽마을공원,11680.0,강남구,11680700.0,세곡동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,207407422.0,26945.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
2021,A,골목상권,3110999,윗방죽마을공원,11680.0,강남구,11680700.0,세곡동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,91119809.0,18991.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
2021,A,골목상권,3110999,윗방죽마을공원,11680.0,강남구,11680700.0,세곡동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,82378671.0,18706.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
2021,A,골목상권,3110999,윗방죽마을공원,11680.0,강남구,11680700.0,세곡동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,101484750.0,33592.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
2021,A,골목상권,3110999,윗방죽마을공원,11680.0,강남구,11680700.0,세곡동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,80234841.0,44520.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
2021,D,발달상권,3120185,논현역,11680.0,강남구,11680521.0,논현1동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,530762935.0,279629.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
2021,D,발달상권,3120185,논현역,11680.0,강남구,11680521.0,논현1동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,748425412.0,512247.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
2021,D,발달상권,3120185,논현역,11680.0,강남구,11680521.0,논현1동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,357181157.0,436629.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
2021,D,발달상권,3120185,논현역,11680.0,강남구,11680521.0,논현1동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,415183190.0,428265.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
2021,D,발달상권,3120185,논현역,11680.0,강남구,11680521.0,논현1동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,627629133.0,546485.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
2021,D,발달상권,3120185,논현역,11680.0,강남구,11680521.0,논현1동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,229110780.0,476253.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
2021,D,발달상권,3120186,가로수길,11680.0,강남구,11680510.0,신사동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,229416966.0,223193.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
2021,D,발달상권,3120186,가로수길,11680.0,강남구,11680510.0,신사동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,326323697.0,545777.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
2021,D,발달상권,3120186,가로수길,11680.0,강남구,11680510.0,신사동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,219855417.0,455833.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
2021,D,발달상권,3120186,가로수길,11680.0,강남구,11680510.0,신사동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,214350582.0,410545.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
2021,D,발달상권,3120186,가로수길,11680.0,강남구,11680510.0,신사동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,197520344.0,420189.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
